손님,직원
네 (date) 가능합니다. (date) (time) (person)로 예약 도와드리겠습니다.,네 맞습니다. 감사합니다.
확인했습니다. 예약해주셔서 감사합니다.,맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?,어. 혹시 (date)가 가능할까요?
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",네 맞습니다. 감사합니다.
네 감사합니다.,맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",어. 혹시 (date)가 가능할까요?
확인했습니다. (date) (time) (person)으로 예약했습니다.,맞아요. 감사합니다.
예약 완료 되었습니다. 예약 해주셔서 감사합니다.,네 맞습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?,그럼 (date)로 변경할게요.
확인했습니다. (date) (time) (person)으로 예약했습니다.,네 맞아요. 감사합니다.
확인했습니다. 예약해주셔서 감사합니다.,네 맞습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?,그럼 (date) 가능할까요?
네 (date) 가능합니다. (date) (time) (person)로 예약 도와드리겠습니다.,네 맞습니다. 감사합니다.
예약 완료 되었습니다. 예약 해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",어. 혹시 (date)가 가능할까요?
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",네 맞아요. 감사합니다.
네 감사합니다.,맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
(date)는 예약이 다 찼습니다. 혹시 다른 날짜 가능하실까요?,어. 혹시 (date)가 가능할까요?
확인했습니다. (date) (time) (person)으로 예약했습니다.,네 맞습니다. 감사합니다.
네. 예약해주셔서 감사합니다.,네 맞아요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",어. 혹시 (date)가 가능할까요?
확인했습니다. (date) (time) (person)으로 예약했습니다.,맞아요. 감사합니다.
확인했습니다. 예약해주셔서 감사합니다.,네 맞아요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?,그렇군요. 그럼 (date)로 바꿀게요.
네 가능합니다. (date) (time) (person) 맞으실까요?,네 맞아요.
확인했습니다. 예약해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?,그렇군요. 그럼 (date)로 할게요.
네 가능합니다. (date) (time) (person) 맞으실까요?,네 맞습니다. 감사합니다.
네 감사합니다.,맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
(date)는 예약이 다 찼습니다. 혹시 다른 날짜 가능하실까요?,그렇군요. 그럼 (date)로 바꿀게요.
네 가능합니다. (date) (time) (person) 맞으실까요?,네 맞아요. 감사합니다.
예약해주셔서 감사합니다.,네 맞아요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
(date)는 예약이 다 찼습니다. 혹시 다른 날짜 가능하실까요?,어. 혹시 (date)가 가능할까요?
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",맞아요. 감사합니다.
예약 완료 되었습니다. 예약 해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?,그렇군요. 그럼 (date)로 바꿀게요.
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",네 맞아요. 감사합니다.
알겠습니다. 감사합니다.,네 맞습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?,그렇군요. 그럼 (date)로 바꿀게요.
네 가능합니다. (date) (time) (person) 맞으실까요?,네 맞아요.
예약해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?,그렇군요. 그럼 (date)로 바꿀게요.
네 가능합니다. (date) (time) (person) 맞으실까요?,맞아요. 감사합니다.
알겠습니다. 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?,그럼 (date) 가능할까요?
네 (date) 가능합니다. (date) (time) (person)로 예약 도와드리겠습니다.,네 맞아요.
네. 예약해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?,그럼 (date)로 변경할게요.
네 (date) 가능합니다. (date) (time) (person)로 예약 도와드리겠습니다.,네 맞습니다. 감사합니다.
네. 예약해주셔서 감사합니다.,네 맞습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?,그렇군요. 그럼 (date)로 바꿀게요.
네 가능합니다. (date) (time) (person) 맞으실까요?,맞아요. 감사합니다.
예약 완료 되었습니다. 예약 해주셔서 감사합니다.,네 맞아요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?,그럼 (date) 가능할까요?
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",맞아요. 감사합니다.
네 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",그럼 (date)로 변경할게요.
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",네 맞습니다. 감사합니다.
네 감사합니다.,맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?,그렇군요. 그럼 (date)로 바꿀게요.
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",맞아요. 감사합니다.
알겠습니다. 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",그럼 (date) 가능할까요?
네 가능합니다. (date) (time) (person) 맞으실까요?,네 맞아요.
네 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?,그렇군요. 그럼 (date)로 바꿀게요.
네 가능합니다. (date) (time) (person) 맞으실까요?,네 맞아요. 감사합니다.
확인했습니다. 예약해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",그렇군요. 그럼 (date)로 할게요.
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",네 맞아요. 감사합니다.
확인했습니다. 예약해주셔서 감사합니다.,맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?,그럼 (date) 가능할까요?
확인했습니다. (date) (time) (person)으로 예약했습니다.,네 맞습니다. 감사합니다.
네 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",그렇군요. 그럼 (date)로 할게요.
확인했습니다. (date) (time) (person)으로 예약했습니다.,네 맞아요. 감사합니다.
네 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?,그렇군요. 그럼 (date)로 할게요.
확인했습니다. (date) (time) (person)으로 예약했습니다.,맞아요. 감사합니다.
확인했습니다. 예약해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?,그럼 (date)로 변경할게요.
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",네 맞습니다. 감사합니다.
네 감사합니다.,맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",그럼 (date)로 변경할게요.
네 (date) 가능합니다. (date) (time) (person)로 예약 도와드리겠습니다.,네 맞아요.
확인했습니다. 예약해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?,그렇군요. 그럼 (date)로 할게요.
네 (date) 가능합니다. (date) (time) (person)로 예약 도와드리겠습니다.,네 맞습니다. 감사합니다.
네 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",그렇군요. 그럼 (date)로 할게요.
네 (date) 가능합니다. (date) (time) (person)로 예약 도와드리겠습니다.,네 맞아요.
확인했습니다. 예약해주셔서 감사합니다.,네 맞아요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?,그렇군요. 그럼 (date)로 할게요.
확인했습니다. (date) (time) (person)으로 예약했습니다.,네 맞아요. 감사합니다.
예약해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
(date)는 예약이 다 찼습니다. 혹시 다른 날짜 가능하실까요?,그렇군요. 그럼 (date)로 할게요.
네 가능합니다. (date) (time) (person) 맞으실까요?,네 맞아요.
네. 예약해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?,그럼 (date)로 변경할게요.
네 (date) 가능합니다. (date) (time) (person)로 예약 도와드리겠습니다.,네 맞아요. 감사합니다.
네. 예약해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?,그럼 (date)로 변경할게요.
확인했습니다. (date) (time) (person)으로 예약했습니다.,네 맞습니다. 감사합니다.
확인했습니다. 예약해주셔서 감사합니다.,네 맞습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",어. 혹시 (date)가 가능할까요?
확인했습니다. (date) (time) (person)으로 예약했습니다.,맞아요. 감사합니다.
예약 완료 되었습니다. 예약 해주셔서 감사합니다.,맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?,그렇군요. 그럼 (date)로 할게요.
네 (date) 가능합니다. (date) (time) (person)로 예약 도와드리겠습니다.,네 맞아요. 감사합니다.
예약해주셔서 감사합니다.,네 맞아요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
(date)는 예약이 다 찼습니다. 혹시 다른 날짜 가능하실까요?,그렇군요. 그럼 (date)로 바꿀게요.
네 (date) 가능합니다. (date) (time) (person)로 예약 도와드리겠습니다.,네 맞아요.
알겠습니다. 감사합니다.,네 맞습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?,그럼 (date) 가능할까요?
확인했습니다. (date) (time) (person)으로 예약했습니다.,네 맞아요. 감사합니다.
예약해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
(date)는 예약이 다 찼습니다. 혹시 다른 날짜 가능하실까요?,그럼 (date) 가능할까요?
확인했습니다. (date) (time) (person)으로 예약했습니다.,맞아요. 감사합니다.
네 감사합니다.,맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",그럼 (date) 가능할까요?
네 (date) 가능합니다. (date) (time) (person)로 예약 도와드리겠습니다.,네 맞아요. 감사합니다.
네. 예약해주셔서 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
(date)는 예약이 다 찼습니다. 혹시 다른 날짜 가능하실까요?,그렇군요. 그럼 (date)로 바꿀게요.
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",네 맞습니다. 감사합니다.
알겠습니다. 감사합니다.,네 맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
(date)는 예약이 다 찼습니다. 혹시 다른 날짜 가능하실까요?,어. 혹시 (date)가 가능할까요?
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",네 맞아요. 감사합니다.
예약 완료 되었습니다. 예약 해주셔서 감사합니다.,맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?,그렇군요. 그럼 (date)로 할게요.
네 가능합니다. (date) (time) (person) 맞으실까요?,네 맞아요. 감사합니다.
예약해주셔서 감사합니다.,맞아요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?",그렇군요. 그럼 (date)로 할게요.
"(date)이고, 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?",맞아요. 감사합니다.
알겠습니다. 감사합니다.,네 맞아요. 감사합니다.
