손님,직원
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
여보세요. (date)에 예약 가능한가요?,예약이 다 차 다른 날로 예약 진행해드릴까요?
그렇군요. 다음에 다시 예약하겠습니다.,네. 연락주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
여보세요. (date)에 식당 예약 하려고 하는데 가능할가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그렇군요. 다음에 다시 예약하겠습니다.,알겠습니다. 다음에 다시 예약 전화를 주세요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
아 여보세요. 혹시 (date)에 예약 가능한가요?,(date)는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
어 그럼 다음에 예약하겠습니다.,다른 날짜나 시간에 예약을 원하시면 언제든 연락 주세요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
여보세요. (date)에 식당 예약 가능한가요?,(date)는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
아 그렇군요. 다음에 예약할게요.,전화주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
혹시 (date)에 예약 가능한가요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
아 그렇군요. 다음에 예약할게요.,다음에 뵐 수 있기를 기대하겠습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
(date)에 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그럼 예약은 하지 않을게요. 감사합니다.,알겠습니다. 다음에 다시 예약 전화를 주세요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
아 여보세요. (date)에 식당 예약 하려고 하는데 가능할가요?,(date)는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
그럼 예약은 하지 않을게요. 감사합니다.,"네, 다음에 예약을 원하실 때 편하게 연락주세요."
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
여보세요. (date)에 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
어 그럼 다음에 예약하겠습니다.,다음에 뵐 수 있기를 기대하겠습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
아 여보세요. 혹시 (date)에 예약 가능한가요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
그렇군요. 다음에 다시 예약하겠습니다.,다른 날짜나 시간에 예약을 원하시면 언제든 연락 주세요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
아 여보세요. (date)에 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그럼 예약은 하지 않을게요. 감사합니다.,알겠습니다. 다음에 다시 예약 전화를 주세요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
(date)에 예약 가능할까요?,예약이 다 차 다른 날로 예약 진행해드릴까요?
어 그럼 다음에 예약하겠습니다.,네. 연락주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
여보세요. (date)에 혹시 예약 가능한가요?,예약이 다 차 다른 날로 예약 진행해드릴까요?
그렇군요. 다음에 다시 예약하겠습니다.,알겠습니다. 다음에 다시 예약 전화를 주세요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
아 여보세요. (date)에 식당 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
어 그럼 다음에 예약하겠습니다.,전화주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
여보세요. (date)에 혹시 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그렇군요. 다음에 다시 예약하겠습니다.,네. 연락주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
(date)에 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
어 그럼 다음에 예약하겠습니다.,알겠습니다. 다음에 다시 예약 전화를 주세요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
여보세요. (date)에 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
어 그럼 다음에 예약하겠습니다.,알겠습니다. 다음에 다시 예약 전화를 주세요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
(date)에 예약 가능한가요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
그럼 예약은 하지 않을게요. 감사합니다.,다음에 뵐 수 있기를 기대하겠습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
안녕하세요. (date)에 식당 예약 가능한가요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
아 그렇군요. 다음에 예약할게요.,네. 다음에 뵙겠습니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
아 여보세요. 혹시 (date)에 예약 가능한가요?,(date)는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
그럼 예약은 하지 않을게요. 감사합니다.,네. 연락주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
여보세요. (date)에 혹시 예약 가능한가요?,(date)는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
그렇군요. 다음에 다시 예약하겠습니다.,전화주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
여보세요. (date)에 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그렇군요. 다음에 다시 예약하겠습니다.,다른 날짜나 시간에 예약을 원하시면 언제든 연락 주세요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
아 여보세요. 혹시 (date)에 예약 가능한가요?,예약이 다 차 다른 날로 예약 진행해드릴까요?
그럼 예약은 하지 않을게요. 감사합니다.,다른 날짜나 시간에 예약을 원하시면 언제든 연락 주세요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
아 여보세요. (date)에 식당 예약 하려고 하는데 가능할가요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
어 그럼 다음에 예약하겠습니다.,"네, 다음에 예약을 원하실 때 편하게 연락주세요."
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
아 여보세요. (date)에 식당 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그렇군요. 다음에 다시 예약하겠습니다.,다음에 뵐 수 있기를 기대하겠습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
혹시 (date)에 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그렇군요. 다음에 다시 예약하겠습니다.,네. 다음에 뵙겠습니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
혹시 (date)에 예약 가능한가요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
그럼 예약은 하지 않을게요. 감사합니다.,"네, 다음에 예약을 원하실 때 편하게 연락주세요."
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
혹시 (date)에 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그럼 예약은 하지 않을게요. 감사합니다.,"네, 다음에 예약을 원하실 때 편하게 연락주세요."
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
안녕하세요. (date)에 예약 가능한가요?,예약이 다 차 다른 날로 예약 진행해드릴까요?
아 그렇군요. 다음에 예약할게요.,알겠습니다. 다음에 다시 예약 전화를 주세요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
아 여보세요. 혹시 (date)에 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그렇군요. 다음에 다시 예약하겠습니다.,네. 연락주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
여보세요. (date)에 식당 예약 하려고 하는데 가능할가요?,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
아 그렇군요. 다음에 예약할게요.,다른 날짜나 시간에 예약을 원하시면 언제든 연락 주세요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
여보세요. (date)에 식당 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
아 그렇군요. 다음에 예약할게요.,네. 다음에 뵙겠습니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
아 여보세요. (date)에 예약 하려는데 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
아 그렇군요. 다음에 예약할게요.,다음에 뵐 수 있기를 기대하겠습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
아 여보세요. 혹시 (date)에 예약 가능한가요?,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
아 그렇군요. 다음에 예약할게요.,알겠습니다. 다음에 다시 예약 전화를 주세요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
아 여보세요. (date)에 예약 하려는데 가능한가요?,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
아 그렇군요. 다음에 예약할게요.,다른 날짜나 시간에 예약을 원하시면 언제든 연락 주세요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
(date)에 식당 예약 가능한가요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
아 그렇군요. 다음에 예약할게요.,다른 날짜나 시간에 예약을 원하시면 언제든 연락 주세요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네. 무엇을 도와드릴까요?
(date)에 예약을 하고 싶은데 가능할까요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
어 그럼 다음에 예약하겠습니다.,다른 날짜나 시간에 예약을 원하시면 언제든 연락 주세요. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
아 여보세요. (date)에 예약 하려는데 가능한가요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
아 그렇군요. 다음에 예약할게요.,네. 다음에 뵙겠습니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
여보세요. (date)에 식당 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
아 그렇군요. 다음에 예약할게요.,"네, 다음에 예약을 원하실 때 편하게 연락주세요."
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
안녕하세요. (date)에 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그렇군요. 다음에 다시 예약하겠습니다.,네. 연락주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
아 여보세요. 혹시 (date)에 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그렇군요. 다음에 다시 예약하겠습니다.,예약을 도와드리지 못해 죄송합니다. 다음에 예약 전화를 주세요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
아 여보세요. (date)에 예약 가능한가요?,예약이 다 차 다른 날로 예약 진행해드릴까요?
그렇군요. 다음에 다시 예약하겠습니다.,알겠습니다. 다음에 다시 예약 전화를 주세요.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
아 여보세요. (date)에 식당 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
어 그럼 다음에 예약하겠습니다.,네. 연락주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
(date)에 예약 가능할까요?,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
아 그렇군요. 다음에 예약할게요.,다음에 뵐 수 있기를 기대하겠습니다. 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
(date)에 예약 가능할까요?,(date)는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
어 그럼 다음에 예약하겠습니다.,"네, 다음에 예약을 원하실 때 편하게 연락주세요."
